Computer name	Policy compliance	Up to date	Alerts and errors	On-access	Firewall enabled	Application control on-access	Data control scanning	Device control scanning	Tamper protection	Patch assessment	Web control status	Group	
SV5SU	Differs from policy	Yes		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Servers	
SV4DB	Differs from policy	Not since 9/16/2015 4:40:20 PM		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Servers	
SV2	Same as policy	Yes		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Servers	
SUOPS2-PC	Same as policy	Not since 9/16/2015 12:50:22 PM		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Workstations	
SUI-VWEBFUSN1	Same as policy	Not since 9/16/2015 4:40:20 PM		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Servers	
SUI-VWEBFUSN1	Awaiting policy transfer	Not since 6/19/2015 2:40:49 PM		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Servers	
SUI-VITWS1	Same as policy	Not since 9/16/2015 4:40:20 PM		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Workstations	
SUI-VDBSSCDB1	Same as policy	Not since 9/16/2015 4:40:20 PM		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Servers	
SUI-VDBSFUSN1	Same as policy	Not since 9/16/2015 4:40:20 PM		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Servers	
SUI-VCSWS01												\Workgroup-SUI\Workstations	
SUI-VAPPSCVM1	Same as policy	Not since 9/16/2015 4:40:20 PM	Error	Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Servers	
SUI-VAPPSCCM1	Same as policy	Yes		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Servers	
SUI-VAPPFUSN1	Same as policy	Not since 9/16/2015 4:40:20 PM		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Servers	
SUI-SUMAINT	Same as policy	Not since 9/16/2015 4:40:20 PM		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Workstations	
SUI-SUFW2	Awaiting policy transfer	Not since 8/23/2015 4:03:42 AM		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Workstations	
SUI-SUENDPOINT	Same as policy	Not since 8/28/2015 8:04:46 PM		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Workstations	
SUI-SU-BMS	Awaiting policy transfer	Not since 9/16/2015 4:40:20 PM		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Workstations	
SUI-SUBLDNGOPS	Same as policy	Yes		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI	
SUI-SUAV03	Awaiting policy transfer	Not since 9/16/2015 4:40:20 PM		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Workstations	
SUI-SUAV02	Same as policy	Yes		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Workstations	
SUI-SUAV01	Same as policy	Not since 9/12/2015 7:00:19 PM		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Workstations	
SUI-SUASDIR	Awaiting policy transfer	Yes		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Workstations	
SUI-SUADMIN	Same as policy	Not since 9/15/2015 5:50:21 PM		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Workstations	
SUI-MODFDEV2												\Workgroup-SUI\Workstations	
SUI-JVMH1	Differs from policy	Not since 9/16/2015 4:40:20 PM		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Servers	
SUI-INFOMGR	Same as policy	Yes		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Workstations	
SUI-INFO2	Same as policy	Yes		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Workstations	
SUI-INFO1	Same as policy	Yes		Active		Inactive	Inactive	Inactive	Inactive		Active	\Workgroup-SUI\Workstations	
SUI-IMAC	Differs from policy	Not since 9/14/2015 7:00:23 PM		Active				Inactive	Inactive			\Workgroup-SUI\Workstations	
